n,time
881,20018
1417,42567
694,9904
1471,50581
1163,28026
1315,37033
1478,46042
560,7007
1814,70064
51,0
662,9873
114,0
1668,59054
1047,23021
1006,22020
1439,43679
856,15014
218,1001
712,11010
1994,85308
1617,56051
1696,60586
926,18458
930,19017
957,20019
1495,47740
457,4004
993,21019
215,1000
545,6006
484,5503
1472,46043
502,6006
1216,31028
1461,45080
1363,39036
967,20018
1870,73675
1790,68516
1258,33031
266,2001
1829,71066
248,1001
1865,73069
279,2002
1300,35086
609,8008
1392,41070
1028,22020
1129,27027
895,17015
699,10008
737,12011
273,1001
6,0
856,16014
1644,57052
653,9009
1136,27024
917,17015
374,3003
1622,60020
62,0
11,0
898,17015
1930,79495
1140,27025
1712,61429
239,1000
1781,67102
129,0
183,0
418,4004
633,8008
471,4004
561,6927
1467,46091
991,20418
1753,66222
754,13012
375,3003
76,0
1091,27024
84,0
810,13917
1521,49045
1209,30467
884,16015
70,0
1076,25023
890,17297
1313,36033
345,2003
1446,44063
320,2003
1420,42480
709,11010
752,12010
1749,65468
1096,26024
1613,54574
1244,33097
488,5004
1477,46014
43,0
1348,38036
800,13011
252,1002
104,1000
1080,24932
1613,55123
1033,22019
729,11010
949,19018
1531,49044
686,10009
829,14406
1139,28025
995,21020
1964,81468
1555,51046
1095,25520
1628,56449
1238,32567
954,19017
708,10380
1081,25024
1534,49587
1284,35031
931,18016
966,20018
531,6005
380,3003
668,9008
432,4005
1120,26564
1258,34030
463,5004
1623,56785
1325,37614
1040,23021
7,0
1348,38692
232,1001
1956,80915
1642,57809
1285,35031
1029,22923
106,1001
602,7006
966,20051
663,9008
660,9008
750,12012
856,16015
654,9007
422,4003
1063,23020
1989,84276
727,12011
1105,26024
949,19018
1671,59053
1149,28025
1445,44040
579,7007
1547,51047
1032,22588
1296,36033
1601,55049
1999,86078
601,8007
341,3003
1836,71166
1282,35033
153,1001
1677,60055
1422,43040
1872,74422
1064,24406
427,4004
1159,28026
407,4004
498,5006
1717,68063
828,14012
1340,40036
364,3002
683,10009
1223,33046
1007,23021
570,7006
663,9009
392,3992
1647,59054
198,1000
806,14012
34,0
987,21557
1551,53664
1045,24023
769,12561
326,2001
907,18017
1692,62519
1780,67242
926,18017
1232,32475
687,10009
67,1001
1256,34031
674,10621
1776,67554
1884,75573
381,3002
1194,30026
1822,71942
891,16016
1757,67245
1354,39036
1783,67963
1004,21019
526,6005
731,11008
1944,80072
1241,33030
1789,69197
778,14013
914,17015
1789,68063
217,1001
848,16015
1602,55647
1679,62915
1247,34578
467,5004
889,17039
899,18017
1035,23020
99,0
653,9008
969,21676
742,12011
1274,36033
517,5494
559,6005
185,1001
426,4004
64,0
129,1001
291,2002
988,21018
503,6005
58,0
1624,58054
1076,24445
1745,65117
96,0
1338,39036
1576,52885
1778,67061
1913,84201
1009,21529
1819,70523
770,12011
1745,64629
1551,50945
1302,36032
225,1001
1839,72065
1948,81606
159,1001
1436,47042
720,11519
576,7006
1873,73491
237,1001
1765,64848
1177,29026
732,11875
632,8007
1839,71297
1680,60549
86,1000
743,11010
1299,36033
1314,37033
229,1000
1082,25023
1122,27025
1999,84307
1748,64986
1355,39184
1910,76908
369,3003
1556,51393
502,5004
823,15013
1921,77598
920,17525
311,2002
1637,57051
1647,58053
32,0
284,1001
1709,62057
614,8423
1405,43039
66,0
1016,22419
495,5004
888,16016
1810,69686
1132,28026
638,9443
1668,59054
967,20017
293,2002
1542,50531
137,1001
1593,54050
1713,62059
690,10089
1782,67061
1135,27025
800,14013
14,0
400,3003
1498,47958
1705,61061
711,10009
616,8007
1919,77070
1379,40037
365,3003
1484,46236
1597,54052
1037,23021
1024,22020
6,0
874,16014
500,5004
1369,40037
1960,81600
1214,32548
331,3003
719,11010
1925,78071
1859,74721
162,1001
1078,24021
453,4004
451,4004
1631,56673
1815,69897
12,0
1383,40923
50,0
878,16015
895,17016
892,17015
1320,37034
1657,59004
911,18017
372,3003
1979,85485
1494,47583
622,8007
1530,49044
364,3002
727,11011
760,12012
322,2002
441,4003
1730,64518
1963,81599
760,12011
597,8007
1365,39036
921,18016
126,0
722,11010
1764,66060
161,1001
1143,28025
644,9008
1768,66438
313,2002
634,8008
1951,80602
1116,26024
1435,43141
275,2002
1868,74056
1139,28025
983,21019
1065,24021
243,1001
890,17016
71,0
1653,58157
135,1001
1639,57693
948,19018
356,3002
1477,46041
848,15014
563,6005
1337,38036
838,15014
427,4003
472,5005
1807,69062
414,4004
474,4003
1879,74997
1363,39184
1104,26067
587,7006
908,18017
523,6006
337,3003
228,1001
542,6006
333,3002
208,1001
1344,39039
163,1000
779,14012
1309,36743
733,12010
76,0
590,7006
631,8006
582,7006
1491,47998
1890,76357
1297,36378
1676,60057
1024,23021
1798,70066
1005,21019
116,0
1140,28028
664,9031
1693,60377
941,19017
1269,34048
486,5005
1475,46043
1820,70063
53,0
1717,62056
1612,57052
1024,22479
826,15013
1768,65413
492,5005
1753,65196
574,7007
197,1000
994,21019
1383,40036
1340,38548
168,0
1537,50045
1985,85101
763,12012
1618,55735
1563,52439
358,3003
1588,53716
773,13012
88,0
952,20018
140,1001
21,0
1467,46483
172,1001
403,3002
1714,62843
1099,26024
615,8462
178,1001
1528,50044
861,16850
943,19018
928,18017
198,1001
818,14013
396,3004
1365,39567
143,0
119,0
1269,34074
231,1000
306,2003
836,15016
855,15548
22,0
1235,32463
762,13011
1224,32030
610,8007
5,0
851,15931
31,0
569,7006
629,9009
1318,38035
755,12540
560,7006
782,14013
274,2001
918,19018
809,14014
1143,28026
104,0
137,0
256,1001
58,0
793,13012
1934,81075
474,4560
1126,28026
1245,34032
146,1001
1612,56051
1875,74498
1687,61058
1880,79932
1508,52253
1018,25022
1992,84078
1187,31028
681,10009
421,4004
191,1001
1814,75833
1505,49070
746,11009
1426,44073
108,0
311,3002
1158,29027
711,10010
611,8008
1244,33030
1250,33441
810,14013
176,1000
1722,63690
1322,37033
1563,52047
1431,43018
399,4004
1936,82071
891,17016
890,16014
1620,54937
284,1001
1606,55050
1979,87344
266,1002
1796,69049
533,6005
178,1001
1519,48957
1027,23548
247,2004
1035,22391
147,0
1522,48550
1097,26439
1182,30694
290,2003
1016,22442
1701,61248
1951,80392
1403,42039
953,19017
777,13011
1798,68774
1877,74440
371,3003
468,4004
1510,48043
1971,82120
356,2002
1687,61059
9,0
440,4003
394,3003
600,8339
469,5005
39,0
545,7007
691,11011
174,1002
177,1000
1039,23021
1103,26103
588,8009
1613,55978
1322,37034
1358,39542
603,8006
1087,25023
824,14920
85,0
1427,43039
707,10009
