n,time
17,281046
16,131013
4,0
3,0
13,11991
6,0
14,26176
9,1001
12,4004
13,12011
9,391
14,24536
15,58187
17,283732
10,1001
13,11010
3,0
7,0
6,855
8,0
3,0
10,995
7,0
16,126203
8,0
6,0
10,1001
12,5004
14,27539
18,634590
3,0
19,1409091
7,0
13,12079
4,0
11,2002
5,0
8,0
5,0
11,2446
11,1997
11,2002
12,5004
5,0
17,275090
20,2975310
10,1000
10,0
8,1001
11,2139
10,988
18,617971
7,1001
9,0
20,2954635
10,1002
19,1373784
19,1347128
13,12002
18,609073
14,24934
16,121095
5,0
11,1984
8,0
3,0
3,0
12,4004
15,57247
18,610549
11,2002
4,0
5,0
5,0
10,1001
17,277291
15,55887
17,275154
18,636077
9,1001
7,0
19,1382478
8,0
10,1001
12,5007
17,280624
10,1000
17,280814
16,124280
11,1656
14,24347
17,282661
5,1001
16,123011
15,56927
19,1388584
15,55938
9,0
5,0
20,3025387
15,55354
6,0
13,11010
5,0
13,9995
13,10982
17,280693
6,0
19,1370145
14,24355
12,3998
11,3004
19,1449795
12,5005
7,0
17,276407
17,288846
14,24481
8,0
5,0
3,1000
3,0
14,23970
18,665044
5,0
12,4875
8,0
12,5059
17,309125
13,11514
13,11491
9,0
16,138889
16,153524
19,1385578
12,5015
5,0
4,0
3,0
8,0
5,0
11,1993
16,122184
4,0
4,0
12,8356
5,0
11,2648
10,994
14,23835
5,0
18,615593
14,24013
8,0
14,24990
6,0
17,290385
16,121114
6,0
6,0
7,0
18,611973
13,10573
12,5004
13,11061
6,0
10,1001
10,1001
6,0
3,0
16,122369
6,0
6,0
5,0
15,53068
9,1000
13,11013
8,0
17,275421
18,611667
7,1001
4,0
16,122945
9,0
3,0
14,24070
13,10931
6,0
18,610485
19,1361786
11,2001
19,1372355
11,1993
15,60811
19,1404134
10,1002
11,2001
7,9
13,10006
9,1000
4,0
15,53994
17,277673
18,608328
18,610154
15,53100
14,24918
18,609950
11,1995
5,0
8,0
11,2002
20,3107587
8,0
13,15013
20,3356837
17,284019
13,11566
13,12010
19,1419806
14,29138
6,0
7,0
13,13011
4,0
13,11011
6,0
6,0
11,2002
10,1000
7,0
9,1346
19,1448215
11,1994
5,0
8,0
8,1001
18,646755
11,2002
14,25498
7,0
16,123392
20,3231231
15,61159
9,0
11,2590
15,61902
5,0
17,305481
3,0
10,1001
12,6006
11,2001
13,13347
20,3262983
4,0
4,0
9,1000
14,24642
3,0
6,0
14,25030
18,650035
19,1443765
5,0
11,2000
11,2003
20,3166137
20,2957600
4,0
7,996
15,52855
18,592864
10,1000
20,2984324
14,22996
18,649065
11,2001
11,2002
19,1429615
12,4931
5,0
18,627522
20,3044583
15,55703
20,2995484
14,24038
18,616028
3,0
18,614532
3,0
10,1000
14,24648
4,0
11,2002
11,2005
14,23822
11,2292
13,11013
3,0
5,0
12,4108
17,274678
14,24005
15,54001
17,275050
16,122992
5,0
5,0
13,11001
9,0
9,1001
20,2989312
5,0
18,623425
17,280688
6,0
5,0
19,1380487
6,0
15,56931
7,0
6,0
10,1001
6,0
13,10459
3,0
8,0
17,277282
20,3089682
3,0
14,25001
7,0
16,122007
13,10006
5,0
9,1000
12,5005
11,2002
10,1000
11,2002
14,25506
10,1000
17,281804
11,2001
11,2362
3,0
9,0
14,24922
7,0
8,0
5,0
17,285380
16,125010
6,0
14,23654
16,123562
20,3189871
10,1001
6,0
17,281320
4,0
5,0
18,638322
11,2002
5,0
11,2001
9,1001
17,283030
6,0
6,0
15,55012
10,1003
19,1390848
5,0
11,2001
9,1001
4,0
12,4004
6,0
10,997
4,0
3,0
3,0
19,1382148
9,0
3,0
10,1000
9,1001
5,0
9,0
19,1368617
10,995
3,0
12,5004
9,672
3,0
11,1895
19,1387392
5,0
4,0
10,1815
6,0
20,3049767
6,0
6,0
19,1350233
18,611415
20,3019307
20,2977318
7,0
11,1997
14,24002
18,612712
16,124349
7,0
18,614130
15,55610
3,0
18,613711
4,0
9,1001
9,0
12,4980
13,10412
8,1001
7,0
7,0
18,613189
18,635642
4,0
14,30031
5,0
16,122239
16,124668
19,1413841
18,616333
8,0
14,23872
10,1001
8,0
20,2973282
5,0
18,612244
11,2002
20,2981191
11,2004
9,0
11,2002
3,0
18,611893
13,10005
14,24003
10,1000
7,0
13,10987
10,998
11,2002
8,0
5,0
13,10843
6,0
9,512
11,1788
12,4383
7,0
14,25140
4,0
20,3031248
16,124588
20,3263466
19,1457181
16,127339
8,0
4,0
18,632717
6,0
12,5074
4,0
10,934
8,0
4,0
9,0
4,0
19,1425149
4,0
19,1468145
11,2001
14,25992
12,6027
14,25979
14,26155
14,26854
12,4992
15,59008
12,5004
19,1425896
8,0
12,5004
16,128816
15,57453
19,1498874
13,10999
14,26516
8,0
3,0
18,647964
18,663769
11,2003
15,57153
19,1403409
19,1364298
20,3021277
16,124022
20,3050666
5,0
18,599179
18,602947
17,284671
16,127016
11,2002
7,0
11,2002
5,0
9,0
4,0
9,1001
14,24193
20,3012988
19,1375299
6,0
5,0
19,1370469
19,1358277
12,5518
3,0
4,0
9,0
6,0
9,0
16,135411
9,0
16,128963
4,0
10,1001
5,0
17,301135
6,0
11,2002
9,0
19,1405927
19,1397906
10,1001
5,0
14,24000
18,626075
7,0
5,0
8,0
20,3168695
9,1018
6,0
20,3159625
10,976
16,123743
20,3228910
8,0
9,0
7,0
15,56571
13,11009
7,0
18,649835
6,0
19,1405243
8,0
18,617121
14,25023
14,24022
16,121999
11,2002
14,24549
3,0
12,5004
18,614932
9,1001
12,5004
7,0
7,0
9,0
15,55051
8,0
9,0
19,1350918
16,121325
16,124276
13,11010
9,431
19,1354781
4,0
7,0
12,5004
9,0
17,281353
5,0
13,11011
13,11010
17,275239
17,275840
16,124540
18,634182
7,0
16,136260
3,0
5,0
8,0
10,1004
8,0
12,5003
3,0
11,3003
12,5004
4,0
17,285505
16,123354
15,55050
